target,device,model,quant,flavor,draft_tps,accept,goodput_proxy,variant
llama_target_70b,RPi 4B,llama-3.2-1b,q4_k_m,instruct,4.14,0.5038,2.085732,llama-3.2-1b-instruct-q4_k_m
llama_target_70b,RPi 4B,llama-3.2-1b,q4_k_m,base,4.18,0.5038,2.105884,llama-3.2-1b-base-q4_k_m
llama_target_70b,RPi 4B,llama-3.2-3b,q4_k_m,instruct,1.68,0.5691,0.956088,llama-3.2-3b-instruct-q4_k_m
llama_target_70b,RPi 4B,llama-3.2-3b,q8_0,instruct,1.04,0.5691,0.5918640000000001,llama-3.2-3b-instruct-q8_0
llama_target_70b,RPi 4B,llama-3.1-8b,q4_k_m,instruct,0.72,0.6488,0.467136,llama-3.1-8b-instruct-q4_k_m
qwen_target_32b,RPi 4B,qwen3-0.6b,q4_k_m,base,7.84,0.3826,2.999584,qwen3-0.6b-base-q4_k_m
qwen_target_32b,RPi 4B,qwen3-0.6b,q8_0,base,4.92,0.3826,1.8823919999999998,qwen3-0.6b-base-q8_0
qwen_target_32b,RPi 4B,qwen3-1.7b,q4_k_m,base,3.02,0.4494,1.357188,qwen3-1.7b-base-q4_k_m
qwen_target_32b,RPi 4B,qwen3-1.7b,q8_0,base,1.89,0.4494,0.849366,qwen3-1.7b-base-q8_0
qwen_target_32b,RPi 4B,qwen3-4b,q4_k_m,base,1.34,0.4705,0.63047,qwen3-4b-base-q4_k_m
qwen_target_32b,RPi 4B,qwen3-4b,q8_0,base,0.83,0.4705,0.39051499999999995,qwen3-4b-base-q8_0
qwen_target_32b,RPi 4B,qwen3-8b,q4_k_m,base,0.72,0.5357,0.38570399999999994,qwen3-8b-base-q4_k_m
qwen_target_32b,RPi 4B,qwen3-8b,q6_k,base,0.55,0.5357,0.294635,qwen3-8b-base-q6_k
llama_target_70b,RPi 5,llama-3.2-1b,q4_k_m,instruct,14.47,0.5038,7.289986000000001,llama-3.2-1b-instruct-q4_k_m
llama_target_70b,RPi 5,llama-3.2-1b,q4_k_m,base,12.86,0.5038,6.478868,llama-3.2-1b-base-q4_k_m
llama_target_70b,RPi 5,llama-3.2-3b,q4_k_m,instruct,4.68,0.5691,2.663388,llama-3.2-3b-instruct-q4_k_m
llama_target_70b,RPi 5,llama-3.2-3b,q8_0,instruct,2.37,0.5691,1.3487670000000003,llama-3.2-3b-instruct-q8_0
llama_target_70b,RPi 5,llama-3.1-8b,q4_k_m,instruct,1.77,0.6488,1.148376,llama-3.1-8b-instruct-q4_k_m
qwen_target_32b,RPi 5,qwen3-0.6b,q4_k_m,base,18.18,0.3826,6.955668,qwen3-0.6b-base-q4_k_m
qwen_target_32b,RPi 5,qwen3-0.6b,q8_0,base,10.38,0.3826,3.971388,qwen3-0.6b-base-q8_0
qwen_target_32b,RPi 5,qwen3-1.7b,q4_k_m,base,7.15,0.4494,3.21321,qwen3-1.7b-base-q4_k_m
qwen_target_32b,RPi 5,qwen3-1.7b,q8_0,base,4.01,0.4494,1.802094,qwen3-1.7b-base-q8_0
qwen_target_32b,RPi 5,qwen3-4b,q4_k_m,base,3.11,0.4705,1.4632549999999998,qwen3-4b-base-q4_k_m
qwen_target_32b,RPi 5,qwen3-4b,q8_0,base,1.93,0.4705,0.9080649999999999,qwen3-4b-base-q8_0
qwen_target_32b,RPi 5,qwen3-8b,q4_k_m,base,1.78,0.5357,0.9535459999999999,qwen3-8b-base-q4_k_m
qwen_target_32b,RPi 5,qwen3-8b,q6_k,base,1.68,0.5357,0.8999759999999999,qwen3-8b-base-q6_k
llama_target_70b,Jetson AGX Orin,llama-3.2-1b,q4_k_m,instruct,93.14,0.5038,46.923932,llama-3.2-1b-instruct-q4_k_m
llama_target_70b,Jetson AGX Orin,llama-3.2-1b,q4_k_m,base,92.94,0.5038,46.823172,llama-3.2-1b-base-q4_k_m
llama_target_70b,Jetson AGX Orin,llama-3.2-3b,q4_k_m,instruct,42.52,0.5691,24.198132000000005,llama-3.2-3b-instruct-q4_k_m
llama_target_70b,Jetson AGX Orin,llama-3.2-3b,q8_0,instruct,31.36,0.5691,17.846976,llama-3.2-3b-instruct-q8_0
llama_target_70b,Jetson AGX Orin,llama-3.1-8b,q4_k_m,instruct,25.07,0.6488,16.265416000000002,llama-3.1-8b-instruct-q4_k_m
qwen_target_32b,Jetson AGX Orin,qwen3-0.6b,q4_k_m,base,98.63,0.3826,37.735838,qwen3-0.6b-base-q4_k_m
qwen_target_32b,Jetson AGX Orin,qwen3-0.6b,q8_0,base,80.21,0.3826,30.688345999999996,qwen3-0.6b-base-q8_0
qwen_target_32b,Jetson AGX Orin,qwen3-1.7b,q4_k_m,base,65.31,0.4494,29.350314,qwen3-1.7b-base-q4_k_m
qwen_target_32b,Jetson AGX Orin,qwen3-1.7b,q8_0,base,46.64,0.4494,20.960016,qwen3-1.7b-base-q8_0
qwen_target_32b,Jetson AGX Orin,qwen3-4b,q4_k_m,base,33.7,0.4705,15.85585,qwen3-4b-base-q4_k_m
qwen_target_32b,Jetson AGX Orin,qwen3-4b,q8_0,base,23.02,0.4705,10.83091,qwen3-4b-base-q8_0
qwen_target_32b,Jetson AGX Orin,qwen3-8b,q4_k_m,base,24.03,0.5357,12.872871,qwen3-8b-base-q4_k_m
qwen_target_32b,Jetson AGX Orin,qwen3-8b,q6_k,base,18.55,0.5357,9.937235,qwen3-8b-base-q6_k
